Species,SHOOT,Grow.con,Block,Year,Date,Row,Plant number,Tag,DONOR,TREATMENT,SPEC.COM,FS,TVN,Pick.date,Size,Fresh.wgt,Ripe.time,Visitor1,Visitor2,Visitor3,Visitor4,Visitor5,Visitor6,Visitor7,Visitor8,Visitor9,Visitor10,Visitor11,Visitor12,Visitor13,Visitor14,Visitor15,POLL,seed number,Firmness
BR,F,Ground,Jilly,2018,13_10,4,49,13_10_4_49_2_OBS_3,NA,V,BB,1,1,,,,,B N 3,,,,,,,,,,,,,,,1,,
BR,F,Ground,Jilly,2018,13_10,4,49,13_10_4_49_2_OBS_7,NA,V,BB,1,1,,,,,B P 10,,,,,,,,,,,,,,,1,,
BR,F,Ground,Jilly,2018,13_10,4,49,13_10_4_49_2_OBS_9,NA,V,BB,1,1,,,,,B N 4,,,,,,,,,,,,,,,1,,
BR,F,Ground,Jilly,2018,13_10,4,49,13_10_4_49_2_OBS_12,NA,V,BB,1,1,,,,,B P 7,,,,,,,,,,,,,,,1,,
BR,F,Ground,Jilly,2018,16_10,9,10,16_10_9_10_2_OBS_4,NA,V,BB,1,1,,,,,B N 1,,,,,,,,,,,,,,,1,,
BR,F,Ground,Jilly,2018,16_10,9,10,16_10_9_10_3_OBS_2,NA,V,BB,1,1,,,,,B N 3,,,,,,,,,,,,,,,1,,
BR,F,Ground,Jilly,2018,16_10,9,10,16_10_9_10_3_OBS_7,NA,V,BB,0,1,,,,,B N 8,,,,,,,,,,,,,,,1,,
BR,F,Ground,Jilly,2018,14_10,9,10,14_10_9_10_NA_OBS_13,NA,V,BB,1,1,,,,,B N 3,,,,,,,,,,,,,,,1,,
BR,F,Ground,Jilly,2018,12_10,9,11,12_10_9_11_NA_OBS_1,NA,V,BB,1,1,,,,,B N 3,,,,,,,,,,,,,,,1,,
BR,F,Ground,Jilly,2018,12_19,9,11,12_19_9_11_2_OBS_10,NA,V,BB,1,1,,,,,B N 2,,,,,,,,,,,,,,,1,,
BR,F,Ground,Jilly,2018,12_20,9,11,12_20_9_11_2_OBS_11,NA,V,BB,0,1,,,,,B N 4,,,,,,,,,,,,,,,1,,
BR,F,Ground,Jilly,2018,18_10,9,26,18_10_9_26_2_OBS_10,NA,V,BB,1,1,,,,,B N 1,,,,,,,,,,,,,,,1,,
