"","Species","SHOOT","Grow.con","Block","Year","Date","Row","Plant.number","Tag","DONOR","TREATMENT","SPEC.COM","FS","TVN","Pick.date","Size","Fresh.wgt","Ripe.time","Visitor1","Visitor2","Visitor3","Visitor4","Visitor5","Visitor6","Visitor7","Visitor8","Visitor9","Visitor10","Visitor11","Visitor12","Visitor13","Visitor14","Visitor15","POLL","seed.number","Firmness","Dryness","stingless_bee","honey_bee","bumble_bee","sumvisits","p_stingless_bee","p_honey_bee","p_bumble_bee","RP","duration","V1D","cent_v1","cent_d","cent_sd","log.wgt","scale.visit","rem_d"
"1","EG","F","Ground","GR12",2017,"6/4/17",14,30,"GR-M-8","V","V","HB",1,1,"10/8/17",NA,0.26,126,"H","","","","","","","","","","","","","","",1,NA,NA,"",0,1,0,1,0,1,0,"1430",6,6,-0.5793837646756,-0.68901742339109,-0.596367639308072,-1.34707364796661,-0.829994597674127,0
"2","EG","F","Ground","GR12",2017,"6/4/17",14,47,"GR-V-19","V","V","HB",1,1,"10/8/17",NA,0.42,126,"H","","","","","","","","","","","","","","",1,NA,NA,"",0,1,0,1,0,1,0,"1447",12,12,-0.415574885220752,-0.64506599154479,-0.596367639308072,-0.867500567704723,-0.829994597674127,0
"3","EG","F","Ground","S1S",2017,"15/5/17",5,8,"S1S-R-3","V","V","HB",1,1,"7/9/17",NA,0.49,115,"H","","","","","","","","","","","","","","",1,NA,NA,"",0,1,0,1,0,1,0,"58",10,10,-0.470177845039035,-0.65971646882689,-0.596367639308072,-0.713349887877465,-0.829994597674127,0
"4","EG","F","Ground","SFI",2017,"5/5/17",7,30,"SF-A-8","V","V","HB",1,1,"4/8/17",11.3434,0.589,91,"H","","","","","","","","","","","","","","",1,NA,320.9877999,"",0,1,0,1,0,1,0,"730",19,19,-0.224464525856762,-0.593789321057441,-0.596367639308072,-0.52932909533055,-0.829994597674127,0
"5","EG","F","Ground","GR12",2017,"4/4/17",14,6,"GR-M-2","V","V","HB",1,1,"7/9/17",NA,0.589,156,"H","","","","","","","","","","","","","","",1,NA,NA,"",0,1,0,1,0,1,0,"146",28,28,0.021248793325511,-0.527862173287992,-0.596367639308072,-0.52932909533055,-0.829994597674127,0
"6","EG","F","Ground","GR12",2017,"7/4/17",14,24,"GR-V-20","V","V","HB",1,1,"25/7/17",11.4488,0.642,109,"H","","","","","","","","","","","","","","",1,NA,191.4425191,"",0,1,0,1,0,1,0,"1424",3,3,-0.661288204403025,-0.710993139314239,-0.596367639308072,-0.443166975292176,-0.829994597674127,0
"7","EG","F","Ground","S1S",2017,"16/5/17",5,9,"S1S-R-8","V","V","HB",1,1,"10/8/17",11.1685,0.66,86,"H","","","","","","","","","","","","","","",1,NA,271.5818273,"",0,1,0,1,0,1,0,"59",2,2,-0.688589684312166,-0.718318377955289,-0.596367639308072,-0.415515443961666,-0.829994597674127,0
"8","EG","F","Ground","SFI",2017,"8/5/17",8,28,"SF-A-16","V","V","HB",1,1,"10/8/17",13.0327,0.93,94,"H","","","","","","","","","","","","","","",1,NA,227.7883208,"",0,1,0,1,0,1,0,"828",16,16,-0.306368965584186,-0.615765036980591,-0.596367639308072,-0.0725706928348354,-0.829994597674127,0
"9","EG","F","Ground","S1S",2017,"12/5/17",5,13,"S1S-J-82","V","V","HB",1,1,"10/8/17",13.6793,1.15,90,"H","","","","","","","","","","","","","","",1,NA,243.0655232,"",0,1,0,1,0,1,0,"513",15,15,-0.333670445493328,-0.623090275621641,-0.596367639308072,0.139761942375159,-0.829994597674127,0
"10","EG","F","Ground","S1S",2017,"11/5/17",5,5,"S1S-A-7","V","V","HB",1,1,"3/8/17",13.7517,1.17,84,"H","","","","","","","","","","","","","","",1,NA,283.2309891,"",0,1,0,1,0,1,0,"55",11,11,-0.442876365129893,-0.65239123018584,-0.596367639308072,0.157003748809665,-0.829994597674127,0
"11","EG","F","Ground","SFI",2017,"4/5/17",8,16,"SF-J-23","V","V","HB",1,1,"20/7/17",14.0584,1.26,77,"H","","","","","","","","","","","","","","",1,NA,280.3181808,"",0,1,0,1,0,1,0,"816",10,10,-0.470177845039035,-0.65971646882689,-0.596367639308072,0.231111720963387,-0.829994597674127,0
"12","EG","F","Ground","S1S",2017,"11/5/17",4,15,"S1S-L-2","V","V","HB",1,1,"25/7/17",15.5527,1.547,75,"H","","","","","","","","","","","","","","",1,NA,250.6846373,"",0,1,0,1,0,1,0,"415",45,45,0.485373951780915,-0.403333116390144,-0.596367639308072,0.436317571590929,-0.829994597674127,0
"13","EG","F","Ground","GR12",2017,"4/4/17",14,17,"GR-L-5","V","V","HB",1,1,"4/7/17",12.1286,0.842507027,91,"H","","","","","","","","","","","","","","",1,NA,217.5579076,"",0,1,0,1,0,1,0,"1417",16,16,-0.306368965584186,-0.615765036980591,-0.596367639308072,-0.171373276137584,-0.829994597674127,0
"14","EG","F","Ground","GR12",2017,"5/4/17",14,9,"GR-L-6","V","V","HB",0,1,NA,NA,NA,NA,"H","","","","","","","","","","","","","","",1,NA,NA,"",0,1,0,1,0,1,0,"149",18,18,-0.251766005765903,-0.601114559698491,-0.596367639308072,NA,-0.829994597674127,0
"15","EG","F","Ground","GR12",2017,"7/4/17",14,11,"GR-M-10","V","V","HB",0,1,NA,NA,NA,NA,"H","","","","","","","","","","","","","","",1,NA,NA,"",0,1,0,1,0,1,0,"1411",2,2,-0.688589684312166,-0.718318377955289,-0.596367639308072,NA,-0.829994597674127,0
"16","EG","F","Ground","GR12",2017,"8/4/17",14,14,"GR-M-12","V","V","HB",0,1,NA,NA,NA,NA,"H","","","","","","","","","","","","","","",1,NA,NA,"",0,1,0,1,0,1,0,"1414",5,5,-0.606685244584742,-0.69634266203214,-0.596367639308072,NA,-0.829994597674127,0
"17","EG","F","Ground","GR12",2017,"8/4/17",14,14,"GR-M-13","V","V","HB",0,1,NA,NA,NA,NA,"H","","","","","","","","","","","","","","",1,NA,NA,"",0,1,0,1,0,1,0,"1414",22,22,-0.142560086129338,-0.571813605134292,-0.596367639308072,NA,-0.829994597674127,0
"18","EG","F","Ground","GR12",2017,"7/4/17",14,31,"GR-V-27","V","V","HB",0,1,NA,NA,NA,NA,"H","","","","","","","","","","","","","","",1,NA,NA,"",0,1,0,1,0,1,0,"1431",6,6,-0.5793837646756,-0.68901742339109,-0.596367639308072,NA,-0.829994597674127,0
"19","EG","F","Ground","GR12",2017,"7/4/17",14,36,"GR-L-7","V","V","HB",0,1,NA,NA,NA,NA,"H","","","","","","","","","","","","","","",1,NA,NA,"",0,1,0,1,0,1,0,"1436",2,2,-0.688589684312166,-0.718318377955289,-0.596367639308072,NA,-0.829994597674127,0
"20","EG","F","Ground","GR12",2017,"8/4/17",14,49,"GR-W-1","V","V","HB",0,1,NA,NA,NA,NA,"H","","","","","","","","","","","","","","",1,NA,NA,"",0,1,0,1,0,1,0,"1449",4,4,-0.633986724493883,-0.70366790067319,-0.596367639308072,NA,-0.829994597674127,0
"21","EG","F","Ground","GR12",2017,"8/4/17",14,49,"GR-W-2","V","V","HB",0,1,NA,NA,NA,NA,"H","","","","","","","","","","","","","","",1,NA,NA,"",0,1,0,1,0,1,0,"1449",10,10,-0.470177845039035,-0.65971646882689,-0.596367639308072,NA,-0.829994597674127,0
"22","EG","F","Ground","GR12",2017,"8/4/17",14,49,"GR-W-3","V","V","HB",0,1,NA,NA,NA,NA,"H","","","","","","","","","","","","","","",1,NA,NA,"",0,1,0,1,0,1,0,"1449",2,2,-0.688589684312166,-0.718318377955289,-0.596367639308072,NA,-0.829994597674127,0
"23","EG","F","Ground","S1S",2017,"11/5/17",4,16,"S1S-J-73","V","V","HB",0,1,NA,NA,NA,NA,"H","","","","","","","","","","","","","","",1,NA,NA,"",0,1,0,1,0,1,0,"416",1,1,-0.715891164221307,-0.725643616596339,-0.596367639308072,NA,-0.829994597674127,0
"24","EG","F","Ground","SFI",2017,"8/5/17",6,20,"SF-A-27","V","V","HB",0,1,NA,NA,NA,NA,"H","","","","","","","","","","","","","","",1,NA,NA,"",0,1,0,1,0,1,0,"620",38,38,0.294263592416925,-0.454609786877493,-0.596367639308072,NA,-0.829994597674127,0
"25","EG","F","Ground","SFI",2017,"3/5/17",8,30,"SF-J-11","V","V","HB",0,1,NA,NA,NA,NA,"H","","","","","","","","","","","","","","",1,NA,NA,"",0,1,0,1,0,1,0,"830",5,5,-0.606685244584742,-0.69634266203214,-0.596367639308072,NA,-0.829994597674127,0
"26","EG","F","Ground","GR12",2017,"5/4/17",14,31,"GR-V-14","V","V","HB",1,1,NA,NA,NA,NA,"H","","","","","","","","","","","","","","",1,NA,NA,"",0,1,0,1,0,1,0,"1431",10,10,-0.470177845039035,-0.65971646882689,-0.596367639308072,NA,-0.829994597674127,0
