Species,SHOOT,Grow.con,Block,Year,Date,Row,Plant number,Tag,DONOR,TREATMENT,SPEC.COM,FS,TVN,Pick.date,Size,Fresh.wgt,Ripe.time,Visitor1,Visitor2,Visitor3,Visitor4,Visitor5,Visitor6,Visitor7,Visitor8,Visitor9,Visitor10,Visitor11,Visitor12,Visitor13,Visitor14,Visitor15,POLL,seed number,Firmness,Dryness
BR,Floricane,Ground,Jilly,2018,14_10,3,18,14_10_3_18_1_OBS_1,,V,HB,1,1,,,1.328,,H N 22,,,,,,,,,,,,,,,,,,1
BR,Floricane,Ground,Jilly,2018,14_10,3,18,14_10_3_18_1_OBS_2,,V,HB,1,2,,,1.267,,H N 19,H N 24,,,,,,,,,,,,,,,,,1
BR,Floricane,Ground,Jilly,2018,14_10,3,18,14_10_3_18_1_OBS_3,,V,HB,1,3,,,1.931,,H N 5,H N 6,H N 4,,,,,,,,,,,,,,,,1
BR,Floricane,Ground,Jilly,2018,14_10,3,18,14_10_3_18_1_OBS_4,,V,HB,1,3,,,1.695,,H N 3,H N 2,H N 6,,,,,,,,,,,,,,,,1
BR,Floricane,Ground,Jilly,2018,14_10,3,18,14_10_3_18_1_OBS_5,,V,HB,1,2,,,2.066,,H N 11,H N 10,,,,,,,,,,,,,,,,,1
BR,Floricane,Ground,Jilly,2018,14_10,3,18,14_10_3_18_1_OBS_6,,V,HB,1,2,,,2.69,,H N 31,H N 2,,,,,,,,,,,,,,,,,1
BR,Floricane,Ground,Jilly,2018,14_11,3,18,14_11_3_18_1_OBS_7,,UP,,1,0,,,1.9,,,,,,,,,,,,,,,,,,,,1
BR,Floricane,Ground,Jilly,2018,14_10,3,18,14_10_3_18_2_OBS_1,,V,HB,1,2,,,,,H N 2,H N 11,,,,,,,,,,,,,,,,,
BR,Floricane,Ground,Jilly,2018,14_10,3,18,14_10_3_18_2_OBS_2,,V,HB,1,2,,,,,H N16,H N 3,,,,,,,,,,,,,,,,,
BR,Floricane,Ground,Jilly,2018,14_10,3,18,14_10_3_18_2_OBS_3,,V,HB,1,3,,,,,H N 12,H N 17,H N 3,,,,,,,,,,,,,,,,
BR,Floricane,Ground,Jilly,2018,14_10,3,18,14_10_3_18_2_OBS_4,,V,HB,1,4,,,,,H N 20,H N 7,H N 5,H N 2,,,,,,,,,,,,,,,
BR,Floricane,Ground,Jilly,2018,14_10,3,18,14_10_3_18_2_OBS_5,,V,HB,1,2,,,,,H N 3,H N 8,,,,,,,,,,,,,,,,,
BR,Floricane,Ground,Jilly,2018,14_10,3,18,14_10_3_18_2_OBS_6,,V,HB,1,4,,,,,H N 6,H N 4,H N 11,H N 1,,,,,,,,,,,,,,,
BR,Floricane,Ground,Jilly,2018,14_10,3,18,14_10_3_18_2_OBS_7,,V,HB,1,6,,,,,H N 20,H N 7,H N 4,H N 2,H N 4,H N 9,,,,,,,,,,,,,
BR,Floricane,Ground,Jilly,2018,14_10,3,18,14_10_3_18_2_OBS_8,,V,HB,1,5,,,,,H N 5 ,H N 10,H N 3,H N 6,H N 3,,,,,,,,,,,,,,
BR,Floricane,Ground,Jilly,2018,12_10,3,18,12_10_3_18_NA_HP_1,,SP,,1,,,,2.147,,,,,,,,,,,,,,,,,,,,1
BR,Floricane,Ground,Jilly,2018,12_10,3,18,12_10_3_18_NA_HP_2,,SP,,1,,,,2.255,,,,,,,,,,,,,,,,,,,,1
BR,Floricane,Ground,Jilly,2018,12_10,3,18,12_10_3_18_NA_HP_3,,SP,,1,,,,,,,,,,,,,,,,,,,,,,,,
BR,Floricane,Ground,Jilly,2018,12_10,3,18,12_10_3_18_NA_HP_4,,SP,,0,,,,2.143,,,,,,,,,,,,,,,,,,,,1
BR,Floricane,Ground,Jilly,2018,12_10,3,18,12_10_3_18_NA_HP_5,,SP,,0,,,,,,,,,,,,,,,,,,,,,,,,
BR,Floricane,Ground,Jilly,2018,12_10,3,18,12_10_3_18_NA_OP_1,,OP,,1,,,,,,,,,,,,,,,,,,,,,,,,
BR,Floricane,Ground,Jilly,2018,12_10,3,18,12_10_3_18_NA_OP_2,,OP,,1,,,,,,,,,,,,,,,,,,,,,,,,
BR,Floricane,Ground,Jilly,2018,12_10,3,18,12_10_3_18_NA_OP_3,,OP,,1,,,,,,,,,,,,,,,,,,,,,,,,
BR,Floricane,Ground,Jilly,2018,12_10,3,18,12_10_3_18_NA_OP_4,,OP,,1,,,,,,,,,,,,,,,,,,,,,,,,
BR,Floricane,Ground,Jilly,2018,12_10,3,18,12_10_3_18_NA_OP_5,,OP,,1,,,,,,,,,,,,,,,,,,,,,,,,
BR,Floricane,Ground,Jilly,2018,12_10,3,18,12_10_3_18_NA_CP_1,,UP,,0,0,,,0.755,,,,,,,,,,,,,,,,,,,,1
BR,Floricane,Ground,Jilly,2018,12_10,3,18,12_10_3_18_NA_CP_2,,UP,,1,0,,,1.919,,,,,,,,,,,,,,,,,,,,1
BR,Floricane,Ground,Jilly,2018,12_10,3,18,12_10_3_18_NA_CP_3,,UP,,1,0,,,1.975,,,,,,,,,,,,,,,,,,,,1
BR,Floricane,Ground,Jilly,2018,12_10,3,18,12_10_3_18_NA_CP_4,,UP,,1,0,,,,,,,,,,,,,,,,,,,,,,,
BR,Floricane,Ground,Jilly,2018,12_10,3,18,12_10_3_18_NA_CP_5,,UP,,1,0,,,1.431,,,,,,,,,,,,,,,,,,,,
BR,Floricane,Ground,Jilly,2018,13_10,3,28,13_10_3_28_2_OBS_1,,V,HB,1,3,,,,,H N 16,H N 5,H N 4,,,,,,,,,,,,,,,,
BR,Floricane,Ground,Jilly,2018,12_10,3,28,12_10_3_28_2_OBS_2,,V,HB,1,2,,,,,H N 25,H N 13,,,,,,,,,,,,,,,,,
BR,Floricane,Ground,Jilly,2018,12_10,3,28,12_10_3_28_2_OBS_3,,V,HB,1,3,,,,,H N 17,H N 2,H N 3,,,,,,,,,,,,,,,,
BR,Floricane,Ground,Jilly,2018,12_11,3,28,12_11_3_28_2_OBS_4,,UP,,0,0,,,,,,,,,,,,,,,,,,,,,,,
