"","BLOCK","DAY","MONTH","YEAR","ROW","PLANT","FLOWER","Height","Width","Weight","Druplets","Crumbliness","Tag","TREATMENT","POLLINATORS","Total.visits","TOTAL.TIME","variable","value","poll.sp","v.d","ord.v","log.vd","sqrt.vd"
"4","24I_",NA,NA,2017,"46_","2_",704,14.03,17.05,1.95,46,2,"24I_46_2_704","V","HB",5,93,"VISIT1","HN67","H",67,1,4.20469261939097,8.18535277187245
"5","24I_",NA,NA,2017,"46_","2_",705,18.05,17.24,3.32,81,1,"24I_46_2_705","V","HB",4,53,"VISIT1","HP8","H",8,1,2.07944154167984,2.82842712474619
"6","24I_",NA,NA,2017,"46_","2_",706,19.65,18.14,3.39,92,2,"24I_46_2_706","V","HB",3,50,"VISIT1","HN8","H",8,1,2.07944154167984,2.82842712474619
"7","24I_",NA,NA,2017,"46_","4_",707,15.86,17.95,2.84,53,1,"24I_46_4_707","V","HB",3,77,"VISIT1","HP72","H",72,1,4.27666611901606,8.48528137423857
"8","24I_",NA,NA,2017,"46_","4_",708,24.36,20.48,4.38,126,3,"24I_46_4_708","V","HB",5,78,"VISIT1","HP4","H",4,1,1.38629436111989,2
"10","24I_",NA,NA,2017,"46_","4_",710,24.57,21.87,5.06,137,3,"24I_46_4_710","V","HB",2,21,"VISIT1","HP10","H",10,1,2.30258509299405,3.16227766016838
"11","24I_",NA,NA,2017,"46_","4_",711,16.89,17.45,2.66,67,2,"24I_46_4_711","V","Mixed",7,95,"VISIT1","HP23","H",23,1,3.13549421592915,4.79583152331272
"12","24I_",NA,NA,2017,"46_","4_",712,12.7,16.54,2.93,46,1,"24I_46_4_712","V","SB",4,78,"VISIT1","SP25","S",25,1,3.2188758248682,5
"13","24I_",NA,NA,2017,"46_","17_",719,17.19,18.9,3.11,82,2,"24I_46_17_719","V","HB",6,118,"VISIT1","HP24","H",24,1,3.17805383034795,4.89897948556636
"14","24I_",NA,NA,2017,"46_","17_",720,15.79,19.62,2.42,63,2,"24I_46_17_720","V","HB",2,53,"VISIT1","HP32","H",32,1,3.46573590279973,5.65685424949238
"15","24I_",NA,NA,2017,"46_","17_",721,19.72,17.37,2.08,31,1,"24I_46_17_721","V","HB",4,52,"VISIT1","HP15","H",15,1,2.70805020110221,3.87298334620742
"17","24I_",NA,NA,2017,"46_","17_",723,16.32,19.86,3.04,64,1,"24I_46_17_723","V","HB",6,94,"VISIT1","HP8","H",8,1,2.07944154167984,2.82842712474619
"18","24I_",NA,NA,2017,"46_","27_",728,17.24,15.44,2.21,69,2,"24I_46_27_728","V","Mixed",6,349,"VISIT1","SN90","S",90,1,4.49980967033027,9.48683298050514
"20","24I_",NA,NA,2017,"46_","27_",730,17.46,14.56,1.96,52,2,"24I_46_27_730","V","HB",5,153,"VISIT1","HP87","H",87,1,4.46590811865458,9.32737905308882
"21","24I_",NA,NA,2017,"46_","27_",731,13.27,13.86,1.29,56,1,"24I_46_27_731","V","HB",6,143,"VISIT1","HN107","H",107,1,4.67282883446191,10.3440804327886
"22","24I_",NA,NA,2017,"46_","27_",732,16.35,16.02,2.34,97,3,"24I_46_27_732","V","HB",2,71,"VISIT1","HP67","H",67,1,4.20469261939097,8.18535277187245
"23","24I_",NA,NA,2017,"46_","27_",733,16.78,16.17,2.25,67,2,"24I_46_27_733","V","Mixed",4,123,"VISIT1","SN2","S",2,1,0.693147180559945,1.4142135623731
"24","24I_",NA,NA,2017,"6_","1_",734,23.22,20.64,3.62,107,2,"24I_6_1_734","V","HB",4,26,"VISIT1","HP12","H",12,1,2.484906649788,3.46410161513775
"25","24I_",NA,NA,2017,"6_","1_",735,15.14,16.6,1.49,13,1,"24I_6_1_735","V","SB",1,6,"VISIT1","SP6","S",6,1,1.79175946922805,2.44948974278318
"26","24I_",NA,NA,2017,"6_","1_",736,21.92,19.92,3.08,112,2,"24I_6_1_736","V","Mixed",13,113,"VISIT1","SP3","S",3,1,1.09861228866811,1.73205080756888
"27","24I_",NA,NA,2017,"6_","1_",737,20.76,19.98,3.4,98,3,"24I_6_1_737","V","HB",2,10,"VISIT1","HP6","H",6,1,1.79175946922805,2.44948974278318
"28","24I_",NA,NA,2017,"6_","1_",738,7.61,14.6,0.75,13,1,"24I_6_1_738","V","HB",6,56,"VISIT1","HP3","H",3,1,1.09861228866811,1.73205080756888
"29","24I_",NA,NA,2017,"6_","1_",739,19.01,18.13,2.56,76,2,"24I_6_1_739","V","HB",5,42,"VISIT1","HP3","H",3,1,1.09861228866811,1.73205080756888
