BLOCK,DAY,MONTH,YEAR,ROW,PLANT,FLOWER,Height,Width,Weight,Druplets,Crumbliness,Comments,CODE (block# added to front),TREATMENT,POLLEN_DONOR,POLLINATORS,VISIT1,VISIT2,VISIT3,VISIT4,VISIT5,VISIT6,VISIT7,VISIT8,VISIT9,VISIT10,VISIT11,VISIT12,VISIT13,VISIT14,VISIT15,VISIT16,VISIT17,VISIT18,VISIT19,VISIT20,VISIT21,VISIT22,VISIT23,VISIT24,VISIT25,VISIT26,VISIT27,VISIT28,VISIT29,Total visits,TOTAL TIME,COMMENTS
24I_,,,2017,46_,2_,701,19.01,16.95,3.11,86,3,,24I_46_2_701,C,,BC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
24I_,,,2017,46_,2_,702,19.84,18.2,3.59,77,3,,24I_46_2_702,C,,BC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
24I_,,,2017,46_,2_,703,14.85,18.79,2.34,41,1,,24I_46_2_703,C,,BC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
24I_,,,2017,46_,2_,704,14.03,17.05,1.95,46,2,,24I_46_2_704,V,,HB,HN67,HN3,HN3,HP4,HP16,,,,,,,,,,,,,,,,,,,,,,,,,5,93,
24I_,,,2017,46_,2_,705,18.05,17.24,3.32,81,1,,24I_46_2_705,V,,HB,HP8,HP8,HN2,HP35,,,,,,,,,,,,,,,,,,,,,,,,,,4,53,
24I_,,,2017,46_,2_,706,19.65,18.14,3.39,92,2,,24I_46_2_706,V,,HB,HN8,HN40,HP2,,,,,,,,,,,,,,,,,,,,,,,,,,,3,50,
24I_,,,2017,46_,4_,707,15.86,17.95,2.84,53,1,,24I_46_4_707,V,,HB,HP72,HN2,HN3,,,,,,,,,,,,,,,,,,,,,,,,,,,3,77,
24I_,,,2017,46_,4_,708,24.36,20.48,4.38,126,3,,24I_46_4_708,V,,HB,HP4,HP6,HP5,HP3,HP60,,,,,,,,,,,,,,,,,,,,,,,,,5,78,
24I_,,,2017,46_,4_,709,14.93,14.54,1.85,48,1,,24I_46_4_709,C,,BC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
24I_,,,2017,46_,4_,710,24.57,21.87,5.06,137,3,,24I_46_4_710,V,,HB,HP10,HP11,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,21,
24I_,,,2017,46_,4_,711,16.89,17.45,2.66,67,2,,24I_46_4_711,V,,Mixed,HP23,HP4,HN5,HN3,HP3,SP45,SP12,,,,,,,,,,,,,,,,,,,,,,,7,95,
24I_,,,2017,46_,4_,712,12.7,16.54,2.93,46,1,,24I_46_4_712,V,,SB,SP25,SN19,SP15,SP19,,,,,,,,,,,,,,,,,,,,,,,,,,4,78,
24I_,,,2017,46_,9_,713,0,0,0.00,0,0,all dead - snapped ,24I_46_9_713,V,,Mixed,HP27,SP4,HP16,HP16,HP22,,,,,,,,,,,,,,,,,,,,,,,,,5,85,Snapped
24I_,,,2017,46_,9_,714,0,0,0.00,0,0,all dead - snapped ,24I_46_9_714,C,,BC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,Snapped
24I_,,,2017,46_,9_,715,0,0,0.00,0,0,all dead - snapped ,24I_46_9_715,V,,Mixed,HP3,HP25,SP13,SP21,HP20,,,,,,,,,,,,,,,,,,,,,,,,,5,82,Snapped
24I_,,,2017,46_,9_,716,0,0,0.00,0,0,all dead - snapped ,24I_46_9_716,V,,Mixed,HP10,HP3,SP4,,,,,,,,,,,,,,,,,,,,,,,,,,,3,17,Snapped
24I_,,,2017,46_,9_,717,0,0,0.00,0,0,all dead - snapped ,24I_46_9_717,V,,Mixed,HP15,HP14,SP9,SP7,SP9,HP3,SN20,,,,,,,,,,,,,,,,,,,,,,,7,77,Snapped
24I_,,,2017,46_,9_,718,0,0,0.00,0,0,all dead - snapped ,24I_46_9_718,V,,Mixed,HN5,HP17,HP4,HP25,HP7,SP8,,,,,,,,,,,,,,,,,,,,,,,,6,66,Snapped
24I_,,,2017,46_,17_,719,17.19,18.9,3.11,82,2,,24I_46_17_719,V,,HB,HP24,HN60,HP12,HP11,HP4,HP7,,,,,,,,,,,,,,,,,,,,,,,,6,118,
24I_,,,2017,46_,17_,720,15.79,19.62,2.42,63,2,,24I_46_17_720,V,,HB,HP32,HP21,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,53,
24I_,,,2017,46_,17_,721,19.72,17.37,2.08,31,1,,24I_46_17_721,V,,HB,HP15,HN25,HP4,HP8,,,,,,,,,,,,,,,,,,,,,,,,,,4,52,
24I_,,,2017,46_,17_,722,14.46,10.61,0.65,0,1,Mouldy/black,24I_46_17_722,C,,BC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
24I_,,,2017,46_,17_,723,16.32,19.86,3.04,64,1,,24I_46_17_723,V,,HB,HP8,HP14,HP20,HP46,HP3,HP3,,,,,,,,,,,,,,,,,,,,,,,,6,94,
24I_,,,2017,46_,21_,724,0,0,0.00,0,0,all dead - snapped ,24I_46_21_724,V,,HB,HP3,HP4,HP10,HP20,HP9,HP27,,,,,,,,,,,,,,,,,,,,,,,,6,73,Snapped
24I_,,,2017,46_,21_,725,0,0,0.00,0,0,all dead - snapped ,24I_46_21_725,V,,HB,HP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,Snapped
24I_,,,2017,46_,21_,726,0,0,0.00,0,0,all dead - snapped ,24I_46_21_726,V,,HB,HP26,HP5,HP41,HN3,HP6,HP5,HP10,HP3,,,,,,,,,,,,,,,,,,,,,,8,99,Snapped
24I_,,,2017,46_,21_,727,0,0,0.00,0,0,all dead - snapped ,24I_46_21_727,C,,BC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,Snapped
24I_,,,2017,46_,27_,728,17.24,15.44,2.21,69,2,,24I_46_27_728,V,,Mixed,SN90,SP47,HP17,SP71,HP3,SN121,,,,,,,,,,,,,,,,,,,,,,,,6,349,
24I_,,,2017,46_,27_,729,5.44,10.84,0.21,5,0,,24I_46_27_729,C,,BC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
24I_,,,2017,46_,27_,730,17.46,14.56,1.96,52,2,,24I_46_27_730,V,,HB,HP87,HP5,HP26,HP31,HP4,,,,,,,,,,,,,,,,,,,,,,,,,5,153,
24I_,,,2017,46_,27_,731,13.27,13.86,1.29,56,1,,24I_46_27_731,V,,HB,HN107,HP20,HP4,HP5,HP3,HP4,,,,,,,,,,,,,,,,,,,,,,,,6,143,
24I_,,,2017,46_,27_,732,16.35,16.02,2.34,97,3,,24I_46_27_732,V,,HB,HP67,HP4,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,71,
24I_,,,2017,46_,27_,733,16.78,16.17,2.25,67,2,,24I_46_27_733,V,,Mixed,SN2,SP12,HP3,HN106,,,,,,,,,,,,,,,,,,,,,,,,,,4,123,
24I_,,,2017,6_,1_,734,23.22,20.64,3.62,107,2,,24I_6_1_734,V,,HB,HP12,HP6,HP4,HP4,,,,,,,,,,,,,,,,,,,,,,,,,,4,26,
24I_,,,2017,6_,1_,735,15.14,16.6,1.49,13,1,,24I_6_1_735,V,,SB,SP6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,
24I_,,,2017,6_,1_,736,21.92,19.92,3.08,112,2,,24I_6_1_736,V,,Mixed,SP3,SP4,HP3,HP5,HP9,HP4,SP24,SP9,SP8,SP6,HP4,HP3,SP31,,,,,,,,,,,,,,,,,13,113,
24I_,,,2017,6_,1_,737,20.76,19.98,3.40,98,3,,24I_6_1_737,V,,HB,HP6,HP4,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,10,
24I_,,,2017,6_,1_,738,7.61,14.6,0.75,13,1,,24I_6_1_738,V,,HB,HP3,HP4,HP7,HP5,HP19,HP18,,,,,,,,,,,,,,,,,,,,,,,,6,56,
24I_,,,2017,6_,1_,739,19.01,18.13,2.56,76,2,,24I_6_1_739,V,,HB,HP3,HP26,HP7,HP3,HP3,,,,,,,,,,,,,,,,,,,,,,,,,5,42,
24I_,,,2017,6_,6_,740,14.13,18.03,2.11,32,1,,24I_6_6_740,C,,BC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
24I_,,,2017,6_,6_,741,11.93,14.61,1.33,39,1,,24I_6_6_741,C,,BC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
24I_,,,2017,6_,6_,742,10.96,15.7,1.87,31,1,,24I_6_6_742,C,,BC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
24I_,,,2017,6_,6_,743,14.93,17.33,2.11,57,1,,24I_6_6_743,C,,BC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
24I_,,,2017,6_,6_,744,0,0,0.00,0,0,,24I_6_6_744,C,,BC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
24I_,,,2017,6_,12_,745,5.32,9.3,0.25,3,1,,24I_6_12_745,C,,BC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
24I_,,,2017,6_,12_,746,6.47,11.93,0.29,3,1,,24I_6_12_746,C,,BC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
24I_,,,2017,6_,12_,747,0,0,0.00,0,1,,24I_6_12_747,V,,Mixed,HP13,HP18,HP31,HP3,HP12,HP11,SP4,SP2,,,,,,,,,,,,,,,,,,,,,,8,94,
24I_,,,2017,6_,12_,748,5.49,11.97,0.29,6,1,,24I_6_12_748,V,,Mixed,HP3,SP18,HP2,SP18,,,,,,,,,,,,,,,,,,,,,,,,,,4,41,
24I_,,,2017,6_,12_,749,10.53,17.72,1.20,19,1,,24I_6_12_749,V,,HB,HP44,HP10,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,54,
24I_,,,2017,6_,26_,750,15.32,18.45,1.83,49,2,,24I_6_26_750,V,,SB,SP15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,15,
24I_,,,2017,6_,26_,751,18.93,17.49,2.31,81,2,,24I_6_26_751,V,,SB,SP7,SP5,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,12,
24I_,,,2017,6_,26_,752,21.89,19.62,3.46,112,3,,24I_6_26_752,V,,Mixed,SP19,SN7,HP11,SP16,SN15,SP3,SP4,,,,,,,,,,,,,,,,,,,,,,,7,75,
24I_,,,2017,6_,26_,753,21.9,19.83,3.52,99,3,,24I_6_26_753,V,,SB,SP22,SP6,SP6,,,,,,,,,,,,,,,,,,,,,,,,,,,3,34,
24I_,,,2017,6_,26_,754,13.36,19.54,2.08,37,1,,24I_6_26_754,C,,BC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
24I_,,,2017,6_,26_,755,19.09,18.4,2.77,92,1,,24I_6_26_755,V,,HB,HP12,HN50,HP4,,,,,,,,,,,,,,,,,,,,,,,,,,,3,66,
24I_,,,2017,6_,26_,756,16.44,18.13,2.35,66,2,,24I_6_26_756,C,,BC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
24I_,,,2017,6_,26_,757,15.96,20.05,2.36,37,3,,24I_6_26_757,C,,BC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
24I_,,,2017,46_,24_,758,14.91,16.76,1.82,54,1,,24I_46_24_758,V,,Mixed,SP24,SP10,HP12,HP4,HP58,,,,,,,,,,,,,,,,,,,,,,,,,5,108,
24I_,,,2017,46_,24_,759,14.45,13.79,1.50,42,1,,24I_46_24_759,V,,Mixed,SN24,SP4,SP6,SP4,HP5,,,,,,,,,,,,,,,,,,,,,,,,,5,43,
24I_,,,2017,46_,24_,760,16.27,17.22,2.45,59,2,,24I_46_24_760,V,,Mixed,HP10,SP2,HP18,HP18,SP8,HP4,,,,,,,,,,,,,,,,,,,,,,,,6,60,
24I_,,,2017,46_,30_,761,0,0,0.00,0,0,,24I_46_30_761,C,,BC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
24I_,,,2017,46_,30_,762,10.48,16.3,1.63,24,1,,24I_46_30_762,C,,BC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
24I_,,,2017,46_,30_,763,17.26,16.99,2.85,96,2,,24I_46_30_763,V,,Mixed,HP12,HP34,HN36,HP3,SN77,SP28,SP31,,,,,,,,,,,,,,,,,,,,,,,7,221,
24I_,,,2017,46_,30_,764,7.5,11.42,0.67,25,1,,24I_46_30_764,V,,HB,HP4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,
24I_,,,2017,46_,37_,765,17.56,15.96,2.38,71,2,,24I_46_37_765,V,,HB,HN63,HP7,HP3,,,,,,,,,,,,,,,,,,,,,,,,,,,3,73,
24I_,,,2017,46_,37_,766,13.78,15.99,1.50,42,1,,24I_46_37_766,V,,Mixed,SP15,SP15,HP24,,,,,,,,,,,,,,,,,,,,,,,,,,,3,54,
24I_,,,2017,46_,37_,767,14.69,13.69,1.76,65,2,,24I_46_37_767,V,,HB,HP8,HP4,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,12,
24I_,,,2017,46_,37_,768,17.98,16.21,2.36,56,2,,24I_46_37_768,V,,HB,HP86,HP79,HP7,HP15,HP15,HP4,HP17,,,,,,,,,,,,,,,,,,,,,,,7,223,
KD5D_,18,1,2018,1_,15_,782,25.44,22.67,5.81,123,3,,KD5D_1_15_782,V,,Mixed,SP24,SP11,SP5,SP8,HN16,HP7,SN47,SP4,HP12,HP30,HP11,HP13,HP15,SP3,,,,,,,,,,,,,,,,14,206,
