"","cond((Int))","disp((Int))","cond(p_honey_bee)","cond(sumvisits)","cond(Visitor1)","cond(p_honey_bee:sumvisits)","cond(p_honey_bee:Visitor1)","cond(sumvisits:Visitor1)","cond(p_honey_bee:sumvisits:Visitor1)","df","logLik","AICc","delta","weight"
"39",-0.234583579154019,"+",NA,0.052464403014067,"+",NA,NA,"+",NA,6,-43.2754536276587,99.6418163462265,0,0.478324422006224
"40",-0.192294116846603,"+",-0.0713868771597764,0.052774055486911,"+",NA,NA,"+",NA,7,-43.2405920459081,101.954868302343,2.31305195611606,0.150469925151894
"56",-0.00378094555250336,"+",-0.389606990025229,0.0541543745883803,"+",NA,"+","+",NA,8,-42.1629401790903,102.245880358181,2.60406401195408,0.130093991848102
"48",-0.487492468127023,"+",0.454384632628095,0.0946677477678884,"+",-0.0732486957774822,NA,"+",NA,8,-43.0285988748,103.9771977496,4.33538140337345,0.0547402082368668
"64",-0.30957330399484,"+",0.15518169447079,0.0977899613834378,"+",-0.0762738212462876,"+","+",NA,9,-41.9271135237428,104.286659479918,4.6448431336915,0.0468929639849113
"128",-0.0174476272697135,"+",-0.365259603371655,0.0561045868132776,"+",-0.00340881181318535,"+","+","+",10,-40.6934944979908,104.400687626119,4.75887127989211,0.0442941923141675
"7",-0.0425455957242187,"+",NA,0.0270193694700371,"+",NA,NA,NA,NA,5,-47.2098078536957,105.188846476622,5.54703013039563,0.0298675959194174
"5",0.161374174002135,"+",NA,NA,"+",NA,NA,NA,NA,4,-49.1999515562169,106.906232226358,7.26441588013121,0.0126553654226685
"8",-0.0288450290544504,"+",-0.0225366303740865,0.0270707639628668,"+",NA,NA,NA,NA,6,-47.2066328444977,107.504174779904,7.8623584336779,0.00938497487190735
"3",0.0463271872480325,"+",NA,0.0255677223822491,NA,NA,NA,NA,NA,4,-49.5678005779535,107.641930269831,8.00011392360446,0.00876031836739384
"24",0.156672947215573,"+",-0.334059233427497,0.0282931960827518,"+",NA,"+",NA,NA,7,-46.2668738654517,108.00743194143,8.36561559520322,0.00729713212808345
"4",0.198613075439662,"+",-0.29167616467089,0.0266417758846663,NA,NA,NA,NA,NA,5,-48.8774858107229,108.524202390677,8.8823860444501,0.00563555811625185
"1",0.235954461583138,"+",NA,NA,NA,NA,NA,NA,NA,3,-51.2626387343703,108.825277468741,9.183461122514,0.00484796315231445
"6",0.158266587731743,"+",0.00497106047260715,NA,"+",NA,NA,NA,NA,5,-49.1998038894648,109.16883854816,9.5270222019338,0.00408277991629002
"16",0.153105339423592,"+",-0.366203208918978,0.00139341346667285,"+",0.0474861385217293,NA,NA,NA,7,-47.1130882886798,109.699860787886,10.0580444416595,0.00313073245566488
"2",0.378565644447735,"+",-0.259568302717687,NA,NA,NA,NA,NA,NA,4,-50.7362464582022,109.978822030328,10.3370056841018,0.00272314201811243
"22",0.33221634312797,"+",-0.273288242046451,NA,"+",NA,"+",NA,NA,6,-48.4776742081093,110.046257507128,10.4044411609012,0.00263285452664856
"32",0.33031024375401,"+",-0.66218056906593,0.00367877484184381,"+",0.0455113205446946,"+",NA,NA,8,-46.1790250777633,110.278050155527,10.6362338093001,0.00234473480218395
"12",0.30835738931491,"+",-0.496854659402633,0.0115698644129772,NA,0.027862636216167,NA,NA,NA,6,-48.8462775441962,110.783464179301,11.1416478330749,0.00182114476089865
